rule_key,rule_label,games,wins,losses,pushes,avg_1h_ats_margin,median_1h_ats_margin,avg_1h_spread,seasons_present,full_game_wins,full_game_losses,full_game_pushes,one_h_ats_win_pct,full_game_ats_win_pct_in_1h_sample,one_h_ats_edge_pct,confidence
P4_G6_DEFENSE_15_PLUS,P4 vs G6: defensive RP edge 15+,28,12,16,0,-1.2678571428571428,-0.5,-12.339285714285714,2,14,14,0,0.42857142857142855,0.5,-7.142857142857146,Exploratory
P4_G6_EITHER_COMPONENT_25_PLUS,P4 vs G6: either RP component edge 25+,34,17,17,0,0.25,0.0,-12.602941176470589,2,19,15,0,0.5,0.5588235294117647,0.0,Promising
P4_P4_OVERALL_15_TO_24_9,P4 vs P4: overall RP edge 15-24.9,17,7,10,0,-2.6470588235294117,-1.5,-0.29411764705882354,2,7,10,0,0.4117647058823529,0.4117647058823529,-8.82352941176471,Exploratory
