rp_band,broad_spread_band,games,wins,losses,pushes,avg_ats_margin,median_ats_margin,avg_clv,clv_games,ats_win_pct,ats_edge_pct,confidence,signal
5_to_14_9,dog_7_plus,47,24,23,0,-1.3170212765957447,0.3333333333333321,0.275,20,0.5106382978723404,1.0638297872340416,Promising,Neutral
5_to_14_9,fav_14_plus,43,19,24,0,-1.5193798449612406,-3.5,0.6136363636363636,22,0.4418604651162791,-5.813953488372093,Promising,Fade RP-edge team
15_to_24_9,fav_14_plus,33,17,16,0,-1.9356060606060608,0.3333333333333339,0.8157894736842105,19,0.5151515151515151,1.5151515151515156,Promising,Neutral
5_to_14_9,pick_to_fav_6_5,30,14,16,0,-0.8916666666666667,-1.6666666666666665,0.027777777777777776,18,0.4666666666666667,-3.3333333333333357,Promising,Neutral
25_plus,fav_14_plus,28,16,12,0,1.1285714285714288,1.916666666666666,-0.2631578947368421,19,0.5714285714285714,7.142857142857139,Exploratory,Back RP-edge team
5_to_14_9,dog_0_5_to_6_5,26,12,14,0,-2.873397435897436,-1.5,0.0,18,0.46153846153846156,-3.8461538461538467,Exploratory,Neutral
15_to_24_9,pick_to_fav_6_5,19,10,9,0,0.7333333333333334,0.5,-0.13636363636363635,11,0.5263157894736842,2.6315789473684177,Exploratory,Neutral
15_to_24_9,dog_7_plus,18,9,8,1,-1.566203703703704,0.375,0.45454545454545453,11,0.5294117647058824,2.941176470588239,Exploratory,Neutral
5_to_14_9,fav_7_to_13_5,17,11,6,0,3.4509803921568625,5.5,-0.1111111111111111,9,0.6470588235294118,14.705882352941174,Exploratory,Back RP-edge team
15_to_24_9,dog_0_5_to_6_5,12,8,4,0,6.558333333333334,6.541666666666667,0.5625,8,0.6666666666666666,16.666666666666657,Insufficient,Back RP-edge team
15_to_24_9,fav_7_to_13_5,12,5,6,1,-1.541666666666667,-4.083333333333334,0.25,8,0.45454545454545453,-4.545454545454547,Insufficient,Neutral
25_plus,dog_7_plus,8,3,5,0,-2.890625,-7.083333333333333,-1.75,4,0.375,-12.5,Insufficient,Fade RP-edge team
25_plus,pick_to_fav_6_5,6,3,3,0,4.291666666666667,0.0,0.3,5,0.5,0.0,Insufficient,Neutral
25_plus,fav_7_to_13_5,5,3,2,0,-3.4,12.333333333333332,0.125,4,0.6,10.0,Insufficient,Back RP-edge team
25_plus,dog_0_5_to_6_5,4,1,3,0,-4.229166666666667,-9.083333333333334,-1.0,1,0.25,-25.0,Insufficient,Fade RP-edge team
