rule_key,rule_label,family,games,wins,losses,pushes,avg_1h_ats_margin,median_1h_ats_margin,avg_1h_spread,seasons_present,one_h_ats_win_pct,one_h_ats_edge_pct,avg_1h_ats_margin_2024,avg_1h_ats_margin_2025,games_2024,games_2025,one_h_ats_win_pct_2024,one_h_ats_win_pct_2025,positive_seasons,positive_margin_seasons,min_season_games,season_pct_gap,season_margin_gap,discovery_score,status
ALL__OVERALL__10_TO_14_9,ALL: overall RP edge 10-14.9,overall_edge,39,19,20,0,-1.1666666666666667,-1.0,-1.0897435897435896,2,0.48717948717948717,-1.2820512820512846,-2.2222222222222223,-0.2619047619047619,18.0,21.0,0.3888888888888889,0.5714285714285714,1,0,18.0,0.1825396825396825,1.9603174603174605,9.59,No actionable signal
ALL__OVERALL__15_TO_24_9,ALL: overall RP edge 15-24.9,overall_edge,49,19,30,0,-2.642857142857143,-2.0,-2.357142857142857,2,0.3877551020408163,-11.224489795918366,-1.6428571428571428,-3.392857142857143,21.0,28.0,0.42857142857142855,0.35714285714285715,0,0,21.0,0.0714285714285714,1.75,-17.29,No actionable signal
ALL__OVERALL__25_PLUS,ALL: overall RP edge 25+,overall_edge,32,15,17,0,0.546875,-0.5,-5.828125,2,0.46875,-3.125,-0.9473684210526315,2.730769230769231,19.0,13.0,0.47368421052631576,0.46153846153846156,0,1,13.0,0.012145748987854199,3.6781376518218623,16.04,No actionable signal
ALL__OVERALL__5_TO_9_9,ALL: overall RP edge 5-9.9,overall_edge,40,18,22,0,0.975,-0.5,-0.95,2,0.45,-5.0,1.0,0.9444444444444444,22.0,18.0,0.4090909090909091,0.5,0,2,18.0,0.09090909090909088,0.05555555555555558,20.18,No actionable signal
G6_vs_G6__BOTH_COMPONENTS__10_PLUS,G6_vs_G6: both RP components 10+,both_components,11,3,8,0,-3.727272727272727,-3.5,-1.5454545454545454,2,0.2727272727272727,-22.72727272727273,-4.8,-2.8333333333333335,5.0,6.0,0.4,0.16666666666666666,0,0,5.0,0.23333333333333336,1.9666666666666663,-55.91,No actionable signal
G6_vs_G6__BOTH_COMPONENTS__15_PLUS,G6_vs_G6: both RP components 15+,both_components,6,2,4,0,-6.166666666666667,-3.75,-1.0,2,0.3333333333333333,-16.66666666666667,-5.5,-7.5,4.0,2.0,0.5,0.0,0,0,2.0,0.5,2.0,-62.0,No actionable signal
G6_vs_G6__BOTH_COMPONENTS__25_PLUS,G6_vs_G6: both RP components 25+,both_components,1,0,1,0,-24.0,-24.0,4.0,1,0.0,-50.0,-24.0,,1.0,,0.0,,0,0,1.0,,,-64.5,No actionable signal
G6_vs_G6__BOTH_COMPONENTS__5_PLUS,G6_vs_G6: both RP components 5+,both_components,14,4,10,0,-3.892857142857143,-3.75,-1.6785714285714286,2,0.2857142857142857,-21.42857142857143,-4.6875,-2.8333333333333335,8.0,6.0,0.375,0.16666666666666666,0,0,6.0,0.20833333333333334,1.8541666666666665,-54.41,No actionable signal
G6_vs_G6__DEFENSE_VS_OFFENSE__10_TO_14_9,G6_vs_G6: Def RP vs opp Off RP edge 10-14.9,defense_vs_offense,5,1,4,0,-0.8,-3.5,-2.2,2,0.2,-30.0,-2.0,-0.5,1.0,4.0,0.0,0.25,0,0,1.0,0.25,1.5,-44.83,No actionable signal
G6_vs_G6__DEFENSE_VS_OFFENSE__15_TO_24_9,G6_vs_G6: Def RP vs opp Off RP edge 15-24.9,defense_vs_offense,7,3,4,0,-0.5714285714285714,-1.5,-0.14285714285714285,2,0.42857142857142855,-7.142857142857146,-0.875,-0.16666666666666666,4.0,3.0,0.5,0.3333333333333333,0,0,3.0,0.16666666666666669,0.7083333333333334,-21.58,No actionable signal
