season,rp_band,broad_spread_band,games,wins,losses,pushes,avg_ats_margin,avg_clv,clv_games,ats_win_pct,ats_edge_pct,season_signal
2023,15_to_24_9,dog_0_5_to_6_5,3,3,0,0,13.844444444444443,,0,1.0,50.0,Back
2023,15_to_24_9,dog_7_plus,5,3,2,0,7.811666666666667,,0,0.6,10.0,Back
2023,15_to_24_9,fav_14_plus,13,8,5,0,1.9455128205128203,,0,0.6153846153846154,11.53846153846154,Back
2023,15_to_24_9,fav_7_to_13_5,4,2,1,1,-0.08333333333333393,,0,0.6666666666666666,16.666666666666657,Back
2023,15_to_24_9,pick_to_fav_6_5,7,5,2,0,1.4190476190476191,,0,0.7142857142857143,21.42857142857143,Back
2023,25_plus,dog_0_5_to_6_5,1,1,0,0,22.0,,0,1.0,50.0,Back
2023,25_plus,dog_7_plus,3,1,2,0,0.18055555555555594,,0,0.3333333333333333,-16.66666666666667,Fade
2023,25_plus,fav_14_plus,7,3,4,0,1.8238095238095242,,0,0.42857142857142855,-7.142857142857146,Fade
2023,25_plus,pick_to_fav_6_5,1,1,0,0,15.166666666666666,,0,1.0,50.0,Back
2023,5_to_14_9,dog_0_5_to_6_5,7,2,5,0,-11.625,,0,0.2857142857142857,-21.42857142857143,Fade
2023,5_to_14_9,dog_7_plus,23,15,8,0,1.2434782608695654,,0,0.6521739130434783,15.217391304347828,Back
2023,5_to_14_9,fav_14_plus,19,12,7,0,0.28508771929824567,0.5,1,0.631578947368421,13.157894736842103,Back
2023,5_to_14_9,fav_7_to_13_5,7,4,3,0,2.642857142857143,,0,0.5714285714285714,7.142857142857139,Back
2023,5_to_14_9,pick_to_fav_6_5,10,4,6,0,-2.5,,0,0.4,-10.0,Fade
2024,15_to_24_9,dog_0_5_to_6_5,4,2,2,0,2.208333333333334,-0.6666666666666666,3,0.5,0.0,Neutral
2024,15_to_24_9,dog_7_plus,6,3,3,0,-4.166666666666667,1.0,4,0.5,0.0,Neutral
2024,15_to_24_9,fav_14_plus,10,5,5,0,-3.5833333333333344,0.8888888888888888,9,0.5,0.0,Neutral
2024,15_to_24_9,fav_7_to_13_5,3,2,1,0,5.666666666666667,-0.3333333333333333,3,0.6666666666666666,16.666666666666657,Back
2024,15_to_24_9,pick_to_fav_6_5,5,0,5,0,-11.866666666666665,0.625,4,0.0,-50.0,Fade
2024,25_plus,dog_0_5_to_6_5,1,0,1,0,-1.6666666666666667,,0,0.0,-50.0,Fade
2024,25_plus,dog_7_plus,4,1,3,0,-8.5,-2.3333333333333335,3,0.25,-25.0,Fade
2024,25_plus,fav_14_plus,12,9,3,0,3.9166666666666665,-1.0,10,0.75,25.0,Back
2024,25_plus,fav_7_to_13_5,3,1,2,0,-15.166666666666666,-0.75,2,0.3333333333333333,-16.66666666666667,Fade
2024,25_plus,pick_to_fav_6_5,2,1,1,0,0.16666666666666696,0.25,2,0.5,0.0,Neutral
2024,5_to_14_9,dog_0_5_to_6_5,8,3,5,0,-2.958333333333333,0.7142857142857143,7,0.375,-12.5,Fade
2024,5_to_14_9,dog_7_plus,12,6,6,0,-0.06944444444444493,0.4375,8,0.5,0.0,Neutral
2024,5_to_14_9,fav_14_plus,10,3,7,0,-4.033333333333333,-0.7142857142857143,7,0.3,-20.0,Fade
2024,5_to_14_9,fav_7_to_13_5,5,3,2,0,5.2333333333333325,-1.25,4,0.6,10.0,Back
2024,5_to_14_9,pick_to_fav_6_5,12,4,8,0,-3.0069444444444446,-0.5,10,0.3333333333333333,-16.66666666666667,Fade
2025,15_to_24_9,dog_0_5_to_6_5,5,3,2,0,5.666666666666667,1.3,5,0.6,10.0,Back
2025,15_to_24_9,dog_7_plus,7,3,3,1,-6.035714285714286,0.14285714285714285,7,0.5,0.0,Neutral
2025,15_to_24_9,fav_14_plus,10,4,6,0,-5.333333333333334,0.75,10,0.4,-10.0,Fade
2025,15_to_24_9,fav_7_to_13_5,5,1,4,0,-7.033333333333333,0.6,5,0.2,-30.0,Fade
2025,15_to_24_9,pick_to_fav_6_5,7,5,2,0,9.047619047619047,-0.5714285714285714,7,0.7142857142857143,21.42857142857143,Back
2025,25_plus,dog_0_5_to_6_5,2,0,2,0,-18.625,-1.0,1,0.0,-50.0,Fade
2025,25_plus,dog_7_plus,1,1,0,0,10.333333333333334,0.0,1,1.0,50.0,Back
2025,25_plus,fav_14_plus,9,4,5,0,-3.129629629629629,0.5555555555555556,9,0.4444444444444444,-5.555555555555557,Fade
2025,25_plus,fav_7_to_13_5,2,2,0,0,14.25,1.0,2,1.0,50.0,Back
2025,25_plus,pick_to_fav_6_5,3,1,2,0,3.4166666666666665,0.3333333333333333,3,0.3333333333333333,-16.66666666666667,Fade
2025,5_to_14_9,dog_0_5_to_6_5,11,7,4,0,2.7575757575757573,-0.45454545454545453,11,0.6363636363636364,13.636363636363633,Back
2025,5_to_14_9,dog_7_plus,12,3,9,0,-7.472222222222222,0.16666666666666666,12,0.25,-25.0,Fade
2025,5_to_14_9,fav_14_plus,14,4,10,0,-2.172619047619048,1.2857142857142858,14,0.2857142857142857,-21.42857142857143,Fade
2025,5_to_14_9,fav_7_to_13_5,5,4,1,0,2.8000000000000007,0.8,5,0.8,30.0,Back
2025,5_to_14_9,pick_to_fav_6_5,8,6,2,0,4.291666666666667,0.6875,8,0.75,25.0,Back
