season,week,game_id,rp_team,rp_opponent,conference_matchup_type,rp_edge,rp_edge_bucket,rp_team_role,rp_team_spread,spread_bucket,rp_team_ats_result,rp_team_clv,source_flipped
2023,1,401520147,Vanderbilt,Hawai'i,P4_vs_G6,18.0,15_to_25,Favorite,-17.625,fav_14_plus,L,,False
2023,1,401520148,Nebraska,Minnesota,P4_vs_P4,11.0,5_to_15,Underdog,7.3,dog_3_7,W,,False
2023,1,401520149,Middle Tennessee,Alabama,G6_vs_P4,29.0,25_plus,Underdog,39.375,dog_14_plus,L,,False
2023,1,401520152,Sam Houston,BYU,G6_vs_P4,8.0,5_to_15,Underdog,20.375,dog_14_plus,W,,False
2023,1,401520155,Toledo,Illinois,G6_vs_P4,14.0,5_to_15,Underdog,8.6,dog_7_14,W,,False
2023,1,401520156,Indiana,Ohio State,P4_vs_P4,2.0,neutral,Underdog,29.1,dog_14_plus,W,,False
2023,1,401520160,Bowling Green,Liberty,G6_vs_G6,4.0,neutral,Underdog,9.25,dog_7_14,L,,False
2023,1,401520162,Michigan,East Carolina,P4_vs_G6,47.0,25_plus,Favorite,-35.4,fav_14_plus,L,,False
2023,1,401520169,Penn State,West Virginia,P4_vs_P4,1.0,neutral,Favorite,-20.6,fav_14_plus,W,,False
2023,1,401520171,Rutgers,Northwestern,P4_vs_P4,17.0,15_to_25,Favorite,-6.1,fav_3_7,W,,False
2023,1,401520172,Louisiana Tech,SMU,G6_vs_G6,20.0,15_to_25,Underdog,20.125,dog_14_plus,L,,False
2023,1,401520173,Texas A&M,New Mexico,P4_vs_G6,16.0,15_to_25,Favorite,-37.875,fav_14_plus,W,,False
2023,1,401520175,Army,UL Monroe,Other,12.0,5_to_15,Favorite,-8.375,fav_7_14,L,,False
2023,1,401520176,Utah,Florida,,22.0,15_to_25,Favorite,-6.3,fav_3_7,W,,False
2023,1,401520179,Tennessee,Virginia,P4_vs_P4,11.0,5_to_15,Favorite,-27.7,fav_14_plus,W,,False
2023,1,401520180,Wisconsin,Buffalo,P4_vs_G6,19.0,15_to_25,Favorite,-27.0,fav_14_plus,L,,False
2023,1,401520182,Florida State,LSU,P4_vs_P4,16.0,15_to_25,Underdog,2.2,pick_to_3,W,,False
2023,2,401520183,Texas,Alabama,P4_vs_P4,34.0,25_plus,Underdog,7.166666666666667,dog_3_7,W,,False
2023,2,401520186,Auburn,California,,3.0,neutral,Favorite,-4.833333333333333,fav_3_7,L,,False
2023,2,401520187,Coastal Carolina,Jacksonville State,G6_vs_G6,9.0,5_to_15,Favorite,-13.666666666666666,fav_7_14,W,,False
2023,2,401520188,Nebraska,Colorado,,12.0,5_to_15,Underdog,2.8333333333333335,pick_to_3,L,,False
2023,2,401520195,Kansas,Illinois,P4_vs_P4,22.0,15_to_25,Favorite,-3.6666666666666665,fav_3_7,W,,False
2023,2,401520198,New Mexico State,Liberty,G6_vs_G6,9.0,5_to_15,Underdog,9.333333333333334,dog_7_14,L,,True
2023,2,401520200,Maryland,Charlotte,P4_vs_G6,14.0,5_to_15,Favorite,-24.5,fav_14_plus,L,,False
2023,2,401520201,Texas A&M,Miami,P4_vs_P4,10.0,5_to_15,Favorite,-2.8333333333333335,pick_to_3,L,,False
2023,2,401520202,Michigan,UNLV,P4_vs_G6,12.0,5_to_15,Favorite,-37.833333333333336,fav_14_plus,L,,False
2023,2,401520204,Eastern Michigan,Minnesota,G6_vs_P4,5.0,5_to_15,Underdog,19.666666666666668,dog_14_plus,W,,False
2023,2,401520206,Missouri,Middle Tennessee,P4_vs_G6,9.0,5_to_15,Favorite,-21.0,fav_14_plus,L,,False
2023,2,401520207,UTEP,Northwestern,G6_vs_P4,9.0,5_to_15,Underdog,1.0,pick_to_3,L,,False
2023,2,401520211,Sam Houston,Air Force,G6_vs_G6,12.0,5_to_15,Underdog,13.166666666666666,dog_7_14,W,,False
2023,2,401520215,Virginia Tech,Purdue,P4_vs_P4,4.0,neutral,Favorite,-0.8333333333333334,pick_to_3,L,,False
2023,2,401520216,Vanderbilt,Wake Forest,P4_vs_P4,13.0,5_to_15,Underdog,9.666666666666666,dog_7_14,L,,False
2023,2,401520217,Wisconsin,Washington State,,10.0,5_to_15,Favorite,-5.333333333333333,fav_3_7,L,,False
2023,3,401520219,UTEP,Arizona,,8.0,5_to_15,Underdog,18.25,dog_14_plus,L,,False
2023,3,401520220,BYU,Arkansas,P4_vs_P4,9.0,5_to_15,Underdog,8.25,dog_7_14,W,,False
2023,3,401520222,Liberty,Buffalo,G6_vs_G6,2.0,neutral,Favorite,-2.75,pick_to_3,W,,True
2023,3,401520223,Duke,Northwestern,P4_vs_P4,15.0,15_to_25,Favorite,-17.0,fav_14_plus,W,,False
2023,3,401520224,Tennessee,Florida,P4_vs_P4,9.0,5_to_15,Favorite,-5.666666666666667,fav_3_7,L,,False
2023,3,401520226,Penn State,Illinois,P4_vs_P4,2.0,neutral,Favorite,-13.5,fav_7_14,W,,False
2023,3,401520227,Iowa,Western Michigan,P4_vs_G6,8.0,5_to_15,Favorite,-28.5,fav_14_plus,W,,False
2023,3,401520229,North Texas,Louisiana Tech,G6_vs_G6,2.0,neutral,Underdog,4.5,dog_3_7,W,,False
2023,3,401520230,Indiana,Louisville,P4_vs_P4,13.0,5_to_15,Underdog,10.0,dog_7_14,W,,False
2023,3,401520231,Maryland,Virginia,P4_vs_P4,12.0,5_to_15,Favorite,-16.25,fav_14_plus,W,,False
2023,3,401520232,Michigan,Bowling Green,P4_vs_G6,22.0,15_to_25,Favorite,-40.75,fav_14_plus,L,,False
2023,3,401520239,North Carolina,Minnesota,P4_vs_P4,10.0,5_to_15,Favorite,-6.666666666666667,fav_3_7,W,,False
2023,3,401520240,Ohio State,Western Kentucky,P4_vs_G6,12.0,5_to_15,Favorite,-29.5,fav_14_plus,W,,False
2023,3,401520241,Ole Miss,Georgia Tech,P4_vs_P4,4.0,neutral,Favorite,-17.0,fav_14_plus,W,,False
2023,3,401520242,Syracuse,Purdue,P4_vs_P4,8.0,5_to_15,Favorite,-1.0,pick_to_3,W,,False
2023,3,401520244,South Florida,Alabama,G6_vs_P4,16.0,15_to_25,Underdog,34.25,dog_14_plus,W,,False
2023,3,401520245,Texas A&M,UL Monroe,P4_vs_G6,28.0,25_plus,Favorite,-36.5,fav_14_plus,W,,False
2023,3,401520247,UNLV,Vanderbilt,G6_vs_P4,4.0,neutral,Underdog,4.5,dog_3_7,W,,False
2023,4,401520250,Ole Miss,Alabama,P4_vs_P4,31.0,25_plus,Underdog,7.0,dog_3_7,L,,False
2023,4,401520252,Georgia,UAB,P4_vs_G6,22.0,15_to_25,Favorite,-40.833333333333336,fav_14_plus,L,,False
2023,4,401520253,New Mexico State,Hawai'i,G6_vs_G6,17.0,15_to_25,Underdog,3.6666666666666665,dog_3_7,W,,False
2023,4,401520254,Sam Houston,Houston,G6_vs_P4,11.0,5_to_15,Underdog,11.5,dog_7_14,L,,False
2023,4,401520256,Indiana,Akron,P4_vs_G6,6.0,5_to_15,Favorite,-16.5,fav_14_plus,L,,False
2023,4,401520258,LSU,Arkansas,P4_vs_P4,17.0,15_to_25,Favorite,-17.666666666666668,fav_14_plus,L,,False
2023,4,401520259,Missouri,Memphis,P4_vs_G6,15.0,15_to_25,Favorite,-6.5,fav_3_7,W,,False
2023,4,401520260,Michigan,Rutgers,P4_vs_P4,8.0,5_to_15,Favorite,-23.833333333333332,fav_14_plus,W,,False
