season,week,game_id,rp_team,rp_opponent,conference_matchup_type,overall_rp_edge,overall_rp_band,offense_vs_defense_edge,defense_vs_offense_edge,rp_team_spread,rp_team_ats_result,rp_team_ats_margin,rp_team_clv,source_flipped,rp_team_norm,rp_opponent_norm,team_pair_key,season_year,event_id,starts_at,away_team,home_team,away_team_id,home_team_id,completed,odds_present,odds_available,away_final_points,home_final_points,home_final_margin,final_total_points,away_1h_points,home_1h_points,home_1h_margin,one_h_total_points,away_2h_points_incl_ot,home_2h_points_incl_ot,home_2h_margin_incl_ot,two_h_total_points_incl_ot,home_game_spread,home_game_spread_book,home_game_spread_price,away_game_spread,away_game_spread_book,away_game_spread_price,game_total,game_over_book,game_over_price,game_under_price,home_game_ats_result,game_total_result,home_1h_spread,home_1h_spread_book,home_1h_spread_price,away_1h_spread,away_1h_spread_book,away_1h_spread_price,one_h_total,one_h_over_book,one_h_over_price,one_h_under_price,home_1h_ats_result,one_h_total_result,home_2h_spread,home_2h_spread_book,home_2h_spread_price,away_2h_spread,away_2h_spread_book,away_2h_spread_price,two_h_total,two_h_over_book,two_h_over_price,two_h_under_price,home_2h_ats_result,two_h_total_result,away_norm,home_norm,starts_at_dt,_merge,rp_team_1h_side,rp_team_1h_spread,rp_team_1h_points,rp_opponent_1h_points,rp_team_1h_margin,rp_team_1h_ats_margin,rp_team_1h_ats_result,one_h_market_role,one_h_spread_bucket,week_segment,venue_role,rule_key,rule_label,family
2024,1,401634306,Boston College,Florida State,P4_vs_P4,9.0,5_to_14_9,20.0,-3.0,16.5,W,31.5,,False,boston college,florida state,boston college||florida state,2024.0,VTwDphVt6BIVB1FdnCyu,2024-09-02T23:30:00.000Z,Boston College,Florida State,BOSTON_COLLEGE_NCAAF,FLORIDA_STATE_NCAAF,True,True,False,28.0,13.0,-15.0,41.0,14.0,6.0,-8.0,20.0,14.0,7.0,-7.0,21.0,14.5,sgo_book,225.0,-14.5,sgo_book,-315.0,41.5,sgo_book,-115.0,-114.0,L,U,10.5,sgo_book,140.0,-10.5,sgo_book,-180.0,20.5,sgo_book,-105.0,-125.0,W,U,6.5,sgo_book,150.0,-6.5,sgo_book,-195.0,23.5,sgo_book,-130.0,100.0,L,U,boston college,florida state,2024-09-02 23:30:00+00:00,both,away,-10.5,14.0,6.0,8.0,-2.5,L,Favorite,Fav 7-13.5,Weeks 1-2,Away,ALL__OVERALL__5_TO_9_9,ALL: overall RP edge 5-9.9,overall_edge
2024,4,401634766,Syracuse,Stanford,P4_vs_P4,7.0,5_to_14_9,16.0,-2.0,-9.5,L,-11.5,,True,syracuse,stanford,stanford||syracuse,2024.0,G6SOeqOdUl4PQ0o8HrUf,2024-09-20T23:30:00.000Z,Stanford,Syracuse,STANFORD_NCAAF,SYRACUSE_NCAAF,True,True,False,26.0,24.0,-2.0,50.0,13.0,10.0,-3.0,23.0,13.0,14.0,1.0,27.0,1.5,sgo_book,242.0,-1.5,sgo_book,-345.0,47.5,sgo_book,263.0,-371.0,L,O,-5.5,sgo_book,-111.0,5.5,sgo_book,-113.0,28.5,sgo_book,-105.0,-120.0,L,U,-5.5,sgo_book,-110.0,5.5,sgo_book,-110.0,27.5,sgo_book,-105.0,-115.0,L,U,stanford,syracuse,2024-09-20 23:30:00+00:00,both,home,-5.5,10.0,13.0,-3.0,-8.5,L,Favorite,Fav 0.5-6.5,Weeks 3-4,Home,ALL__OVERALL__5_TO_9_9,ALL: overall RP edge 5-9.9,overall_edge
2024,1,401635525,Georgia Tech,Florida State,P4_vs_P4,8.0,5_to_14_9,23.0,-7.0,10.5,W,13.5,,True,georgia tech,florida state,florida state||georgia tech,2024.0,iphgBmjL8HBafQeOTMnb,2024-08-24T16:00:00.000Z,Florida State,Georgia Tech,FLORIDA_STATE_NCAAF,GEORGIA_TECH_NCAAF,True,True,False,21.0,24.0,3.0,45.0,14.0,14.0,0.0,28.0,7.0,10.0,3.0,17.0,-3.5,sgo_book,-115.0,3.5,sgo_book,-114.0,49.5,sgo_book,155.0,-210.0,L,U,6.5,sgo_book,-115.0,-6.5,sgo_book,-115.0,29.0,sgo_book,-130.0,100.0,W,U,2.5,sgo_book,-105.0,-2.5,sgo_book,-125.0,21.5,sgo_book,130.0,-166.0,W,U,florida state,georgia tech,2024-08-24 16:00:00+00:00,both,home,6.5,14.0,14.0,0.0,6.5,W,Underdog,Dog 0.5-6.5,Weeks 1-2,Home,ALL__OVERALL__5_TO_9_9,ALL: overall RP edge 5-9.9,overall_edge
2024,2,401635534,Syracuse,Georgia Tech,P4_vs_P4,8.0,5_to_14_9,32.0,-16.0,2.5,W,5.5,,True,syracuse,georgia tech,georgia tech||syracuse,2024.0,wI2FWTfg52OMrAodGpb0,2024-09-07T16:00:00.000Z,Georgia Tech,Syracuse,GEORGIA_TECH_NCAAF,SYRACUSE_NCAAF,True,True,False,28.0,31.0,3.0,59.0,14.0,21.0,7.0,35.0,14.0,10.0,-4.0,24.0,3.0,sgo_book,-115.0,-3.0,sgo_book,-107.0,61.5,sgo_book,-110.0,-110.0,W,U,1.5,sgo_book,-115.0,-1.5,sgo_book,-107.0,30.5,sgo_book,-115.0,-105.0,W,O,0.5,sgo_book,-115.0,-0.5,sgo_book,-105.0,30.5,sgo_book,-108.0,-112.0,L,U,georgia tech,syracuse,2024-09-07 16:00:00+00:00,both,home,1.5,21.0,14.0,7.0,8.5,W,Underdog,Dog 0.5-6.5,Weeks 1-2,Home,ALL__OVERALL__5_TO_9_9,ALL: overall RP edge 5-9.9,overall_edge
2024,3,401635547,West Virginia,Pittsburgh,P4_vs_P4,6.0,5_to_14_9,27.0,-13.0,-1.5,L,-5.5,,True,west virginia,pittsburgh,pittsburgh||west virginia,2024.0,wRutn9kcg4FGc6ggcKok,2024-09-14T19:30:00.000Z,West Virginia,Pittsburgh,WEST_VIRGINIA_NCAAF,PITTSBURGH_NCAAF,True,True,False,34.0,38.0,4.0,72.0,17.0,17.0,0.0,34.0,17.0,21.0,4.0,38.0,-3.5,sgo_book,-132.0,3.5,sgo_book,-107.0,64.5,sgo_book,-145.0,115.0,W,O,0.5,sgo_book,-116.0,-0.5,sgo_book,-103.0,30.5,sgo_book,-115.0,-114.0,W,O,-0.5,sgo_book,105.0,0.5,sgo_book,-125.0,29.5,sgo_book,-105.0,-115.0,W,O,west virginia,pittsburgh,2024-09-14 19:30:00+00:00,both,away,-0.5,17.0,17.0,0.0,-0.5,L,Favorite,Fav 0.5-6.5,Weeks 3-4,Away,ALL__OVERALL__5_TO_9_9,ALL: overall RP edge 5-9.9,overall_edge
2024,4,401635557,TCU,SMU,P4_vs_P4,9.0,5_to_14_9,3.0,14.0,-1.5,L,-25.5,,True,tcu,smu,smu||tcu,2024.0,vTTwRySChrgcRlIFVhXW,2024-09-21T21:00:00.000Z,TCU,SMU,TCU_NCAAF,SMU_NCAAF,True,True,False,42.0,66.0,24.0,108.0,21.0,41.0,20.0,62.0,21.0,25.0,4.0,46.0,-24.5,sgo_book,142.0,24.5,sgo_book,-186.0,58.5,sgo_book,-110.0,-110.0,L,O,0.5,sgo_book,-120.0,-0.5,sgo_book,100.0,28.5,sgo_book,-112.0,-113.0,W,O,-0.5,sgo_book,105.0,0.5,sgo_book,-125.0,28.5,sgo_book,-108.0,-112.0,W,O,tcu,smu,2024-09-21 21:00:00+00:00,both,away,-0.5,21.0,41.0,-20.0,-20.5,L,Favorite,Fav 0.5-6.5,Weeks 3-4,Away,ALL__OVERALL__5_TO_9_9,ALL: overall RP edge 5-9.9,overall_edge
2024,2,401635639,Virginia,Wake Forest,P4_vs_P4,8.0,5_to_14_9,11.0,7.0,-1.5,L,-0.5,,False,virginia,wake forest,virginia||wake forest,2024.0,zKKm2ihAMrrqHHq2YxRZ,2024-09-07T23:00:00.000Z,Virginia,Wake Forest,VIRGINIA_NCAAF,WAKE_FOREST_NCAAF,True,True,False,31.0,30.0,-1.0,61.0,17.0,20.0,3.0,37.0,14.0,10.0,-4.0,24.0,1.0,sgo_book,-110.0,-1.0,sgo_book,-110.0,55.5,sgo_book,-110.0,-110.0,P,O,-0.5,sgo_book,115.0,0.5,sgo_book,-145.0,27.5,sgo_book,-116.0,-110.0,W,O,-1.5,sgo_book,120.0,1.5,sgo_book,-142.0,27.5,sgo_book,-108.0,-112.0,L,U,virginia,wake forest,2024-09-07 23:00:00+00:00,both,away,0.5,17.0,20.0,-3.0,-2.5,L,Underdog,Dog 0.5-6.5,Weeks 1-2,Away,ALL__OVERALL__5_TO_9_9,ALL: overall RP edge 5-9.9,overall_edge
2024,2,401636618,Utah,Baylor,P4_vs_P4,6.0,5_to_14_9,13.0,-1.0,-14.5,L,-3.5,,True,utah,baylor,baylor||utah,2024.0,jbm6hfQo9t26uoycwLkl,2024-09-07T19:30:00.000Z,Baylor,Utah,BAYLOR_NCAAF,UTAH_NCAAF,True,True,False,12.0,23.0,11.0,35.0,3.0,23.0,20.0,26.0,9.0,0.0,-9.0,9.0,-9.5,sgo_book,-715.0,9.5,sgo_book,429.0,54.5,sgo_book,-110.0,-110.0,W,U,-7.5,sgo_book,-115.0,7.5,sgo_book,-105.0,27.5,sgo_book,-112.0,-110.0,W,U,-6.5,sgo_book,-105.0,6.5,sgo_book,-115.0,25.5,sgo_book,-105.0,-115.0,L,U,baylor,utah,2024-09-07 19:30:00+00:00,both,home,-7.5,23.0,3.0,20.0,12.5,W,Favorite,Fav 7-13.5,Weeks 1-2,Home,ALL__OVERALL__5_TO_9_9,ALL: overall RP edge 5-9.9,overall_edge
2024,2,401643709,San Diego State,Oregon State,,6.0,5_to_14_9,23.0,-11.0,5.5,L,-15.5,,True,san diego state,oregon state,oregon state||san diego state,2024.0,7EOyuMpFpxBIVl7sUNig,2024-09-08T02:30:00.000Z,Oregon State,San Diego St,OREGON_STATE_NCAAF,SAN_DIEGO_STATE_NCAAF,True,True,False,21.0,0.0,-21.0,21.0,7.0,0.0,-7.0,7.0,14.0,0.0,-14.0,14.0,6.0,sgo_book,-110.0,-6.0,sgo_book,-110.0,54.5,sgo_book,-110.0,-110.0,L,U,3.5,sgo_book,-116.0,-3.5,sgo_book,-107.0,27.5,sgo_book,-110.0,-118.0,L,U,3.5,sgo_book,-105.0,-3.5,sgo_book,-115.0,26.5,sgo_book,-122.0,102.0,L,U,oregon state,san diego state,2024-09-08 02:30:00+00:00,both,home,3.5,0.0,7.0,-7.0,-3.5,L,Underdog,Dog 0.5-6.5,Weeks 1-2,Home,ALL__OVERALL__5_TO_9_9,ALL: overall RP edge 5-9.9,overall_edge
2024,4,401643716,Wyoming,North Texas,G6_vs_G6,8.0,5_to_14_9,-9.0,25.0,7.5,L,-19.5,,True,wyoming,north texas,north texas||wyoming,2024.0,hW8XpRp5JrgVYw9FrRcB,2024-09-21T23:00:00.000Z,Wyoming,North Texas,WYOMING_NCAAF,NORTH_TEXAS_NCAAF,True,True,False,17.0,44.0,27.0,61.0,17.0,27.0,10.0,44.0,0.0,17.0,17.0,17.0,-25.5,sgo_book,-910.0,25.5,sgo_book,525.0,72.5,sgo_book,118.0,-153.0,W,U,-3.5,sgo_book,-120.0,3.5,sgo_book,-103.0,27.5,sgo_book,-112.0,-114.0,W,O,-3.5,sgo_book,-110.0,3.5,sgo_book,-110.0,27.5,sgo_book,-102.0,-118.0,W,U,wyoming,north texas,2024-09-21 23:00:00+00:00,both,away,3.5,17.0,27.0,-10.0,-6.5,L,Underdog,Dog 0.5-6.5,Weeks 3-4,Away,ALL__OVERALL__5_TO_9_9,ALL: overall RP edge 5-9.9,overall_edge
