metric,high_rp_role,games,ats_w,ats_l,ats_p,avg_ats_margin,avg_spread,avg_rp_pctile_gap,ats_pct,ats_record
defense,Favorite,59,30,27,2,-0.6874293785310737,-18.094209039548023,0.8950829495612069,0.5263157894736842,30-27-2
defense,Underdog,21,12,9,0,3.064285714285714,9.54047619047619,0.8789916571079058,0.5714285714285714,12-9-0
offense,Favorite,46,24,21,1,-0.8422101449275362,-14.820471014492753,0.9107505675384224,0.5333333333333333,24-21-1
offense,Underdog,24,12,12,0,-1.096527777777778,10.903472222222222,0.8495178001400904,0.5,12-12-0
overall,Favorite,59,30,27,2,-0.6874293785310737,-18.094209039548023,0.8950829495612069,0.5263157894736842,30-27-2
overall,Underdog,21,12,9,0,3.064285714285714,9.54047619047619,0.8789916571079058,0.5714285714285714,12-9-0
