built_at,team,injury_score,injury_tier,injury_count,stack_penalty,top_injuries
2026-07-29T12:01:01.218875+00:00,Furman,0.0,None,0,0.0,
2026-07-29T12:01:01.218875+00:00,Gardner-Webb,0.0,None,0,0.0,
2026-07-29T12:01:01.218875+00:00,Georgia,0.0,None,0,0.0,
2026-07-29T12:01:01.218875+00:00,Georgia Southern,0.0,None,0,0.0,
2026-07-29T12:01:01.218875+00:00,Georgia State,0.0,None,0,0.0,
2026-07-29T12:01:01.218875+00:00,Georgia Tech,0.0,None,0,0.0,
2026-07-29T12:01:01.218875+00:00,Grambling State,0.0,None,0,0.0,
2026-07-29T12:01:01.218875+00:00,HCU,0.0,None,0,0.0,
2026-07-29T12:01:01.218875+00:00,Hampton,0.0,None,0,0.0,
2026-07-29T12:01:01.218875+00:00,Hawaii,0.0,None,0,0.0,
2026-07-29T12:01:01.218875+00:00,Holy Cross,0.0,None,0,0.0,
2026-07-29T12:01:01.218875+00:00,Houston,0.0,None,0,0.0,
2026-07-29T12:01:01.218875+00:00,Howard,0.0,None,0,0.0,
2026-07-29T12:01:01.218875+00:00,Idaho,0.0,None,0,0.0,
2026-07-29T12:01:01.218875+00:00,Idaho State,0.0,None,0,0.0,
2026-07-29T12:01:01.218875+00:00,Illinois,0.0,None,0,0.0,
2026-07-29T12:01:01.218875+00:00,Illinois State,0.0,None,0,0.0,
2026-07-29T12:01:01.218875+00:00,Indiana,0.0,None,0,0.0,
2026-07-29T12:01:01.218875+00:00,Indiana State,0.0,None,0,0.0,
2026-07-29T12:01:01.218875+00:00,Iowa,0.0,None,0,0.0,
2026-07-29T12:01:01.218875+00:00,Iowa State,0.0,None,0,0.0,
2026-07-29T12:01:01.218875+00:00,Jacksonville State,0.0,None,0,0.0,
2026-07-29T12:01:01.218875+00:00,James Madison,0.0,None,0,0.0,
2026-07-29T12:01:01.218875+00:00,Kansas,0.0,None,0,0.0,
2026-07-29T12:01:01.218875+00:00,Kansas State,0.0,None,0,0.0,
2026-07-29T12:01:01.218875+00:00,Kennesaw State,0.0,None,0,0.0,
2026-07-29T12:01:01.218875+00:00,Kent State,0.0,None,0,0.0,
2026-07-29T12:01:01.218875+00:00,Kentucky,0.0,None,0,0.0,
2026-07-29T12:01:01.218875+00:00,LIU,0.0,None,0,0.0,
2026-07-29T12:01:01.218875+00:00,LSU,0.0,None,0,0.0,
2026-07-29T12:01:01.218875+00:00,Lafayette,0.0,None,0,0.0,
2026-07-29T12:01:01.218875+00:00,Lamar,0.0,None,0,0.0,
2026-07-29T12:01:01.218875+00:00,Liberty,0.0,None,0,0.0,
2026-07-29T12:01:01.218875+00:00,Lindenwood,0.0,None,0,0.0,
2026-07-29T12:01:01.218875+00:00,Louisiana,0.0,None,0,0.0,
2026-07-29T12:01:01.218875+00:00,Louisiana Tech,0.0,None,0,0.0,
2026-07-29T12:01:01.218875+00:00,Louisville,0.0,None,0,0.0,
2026-07-29T12:01:01.218875+00:00,MAC No. 1,0.0,None,0,0.0,
2026-07-29T12:01:01.218875+00:00,MAC No. 2,0.0,None,0,0.0,
2026-07-29T12:01:01.218875+00:00,MVSU,0.0,None,0,0.0,
2026-07-29T12:01:01.218875+00:00,MWC No. 1,0.0,None,0,0.0,
2026-07-29T12:01:01.218875+00:00,MWC No. 2,0.0,None,0,0.0,
2026-07-29T12:01:01.218875+00:00,Maine,0.0,None,0,0.0,
2026-07-29T12:01:01.218875+00:00,Marshall,0.0,None,0,0.0,
2026-07-29T12:01:01.218875+00:00,Maryland,0.0,None,0,0.0,
2026-07-29T12:01:01.218875+00:00,Massachusetts,0.0,None,0,0.0,
2026-07-29T12:01:01.218875+00:00,McNeese,0.0,None,0,0.0,
2026-07-29T12:01:01.218875+00:00,Memphis,0.0,None,0,0.0,
2026-07-29T12:01:01.218875+00:00,Mercer,0.0,None,0,0.0,
2026-07-29T12:01:01.218875+00:00,Mercyhurst,0.0,None,0,0.0,
2026-07-29T12:01:01.218875+00:00,Merrimack,0.0,None,0,0.0,
2026-07-29T12:01:01.218875+00:00,Miami-FL,0.0,None,0,0.0,
2026-07-29T12:01:01.218875+00:00,Miami-OH,0.0,None,0,0.0,
2026-07-29T12:01:01.218875+00:00,Michigan,0.0,None,0,0.0,
2026-07-29T12:01:01.218875+00:00,Michigan State,0.0,None,0,0.0,
2026-07-29T12:01:01.218875+00:00,Middle Tennessee,0.0,None,0,0.0,
2026-07-29T12:01:01.218875+00:00,Minnesota,0.0,None,0,0.0,
2026-07-29T12:01:01.218875+00:00,Mississippi State,0.0,None,0,0.0,
2026-07-29T12:01:01.218875+00:00,Missouri,0.0,None,0,0.0,
2026-07-29T12:01:01.218875+00:00,Missouri State,0.0,None,0,0.0,
2026-07-29T12:01:01.218875+00:00,Monmouth,0.0,None,0,0.0,
2026-07-29T12:01:01.218875+00:00,Montana,0.0,None,0,0.0,
2026-07-29T12:01:01.218875+00:00,Montana State,0.0,None,0,0.0,
2026-07-29T12:01:01.218875+00:00,Morgan State,0.0,None,0,0.0,
2026-07-29T12:01:01.218875+00:00,Murray State,0.0,None,0,0.0,
2026-07-29T12:01:01.218875+00:00,NC Central,0.0,None,0,0.0,
2026-07-29T12:01:01.218875+00:00,NC State,0.0,None,0,0.0,
2026-07-29T12:01:01.218875+00:00,Navy,0.0,None,0,0.0,
2026-07-29T12:01:01.218875+00:00,Nebraska,0.0,None,0,0.0,
2026-07-29T12:01:01.218875+00:00,Nevada,0.0,None,0,0.0,
2026-07-29T12:01:01.218875+00:00,New Hampshire,0.0,None,0,0.0,
2026-07-29T12:01:01.218875+00:00,New Mexico,0.0,None,0,0.0,
2026-07-29T12:01:01.218875+00:00,New Mexico State,0.0,None,0,0.0,
2026-07-29T12:01:01.218875+00:00,Nicholls,0.0,None,0,0.0,
2026-07-29T12:01:01.218875+00:00,Norfolk State,0.0,None,0,0.0,
2026-07-29T12:01:01.218875+00:00,North Alabama,0.0,None,0,0.0,
2026-07-29T12:01:01.218875+00:00,North Carolina,0.0,None,0,0.0,
2026-07-29T12:01:01.218875+00:00,North Carolina A&T,0.0,None,0,0.0,
2026-07-29T12:01:01.218875+00:00,North Dakota,0.0,None,0,0.0,
2026-07-29T12:01:01.218875+00:00,North Dakota State,0.0,None,0,0.0,
2026-07-29T12:01:01.218875+00:00,North Texas,0.0,None,0,0.0,
2026-07-29T12:01:01.218875+00:00,Northern Arizona,0.0,None,0,0.0,
2026-07-29T12:01:01.218875+00:00,Northern Colorado,0.0,None,0,0.0,
2026-07-29T12:01:01.218875+00:00,Northern Illinois,0.0,None,0,0.0,
2026-07-29T12:01:01.218875+00:00,Northern Iowa,0.0,None,0,0.0,
2026-07-29T12:01:01.218875+00:00,Northwestern,0.0,None,0,0.0,
2026-07-29T12:01:01.218875+00:00,Northwestern State,0.0,None,0,0.0,
2026-07-29T12:01:01.218875+00:00,Notre Dame,0.0,None,0,0.0,
2026-07-29T12:01:01.218875+00:00,Ohio,0.0,None,0,0.0,
2026-07-29T12:01:01.218875+00:00,Ohio State,0.0,None,0,0.0,
2026-07-29T12:01:01.218875+00:00,Oklahoma,0.0,None,0,0.0,
2026-07-29T12:01:01.218875+00:00,Oklahoma State,0.0,None,0,0.0,
2026-07-29T12:01:01.218875+00:00,Old Dominion,0.0,None,0,0.0,
2026-07-29T12:01:01.218875+00:00,Ole Miss,0.0,None,0,0.0,
2026-07-29T12:01:01.218875+00:00,Oregon,0.0,None,0,0.0,
2026-07-29T12:01:01.218875+00:00,Oregon State,0.0,None,0,0.0,
2026-07-29T12:01:01.218875+00:00,Pac-12 No. 1,0.0,None,0,0.0,
2026-07-29T12:01:01.218875+00:00,Pac-12 No. 2,0.0,None,0,0.0,
2026-07-29T12:01:01.218875+00:00,Penn State,0.0,None,0,0.0,
2026-07-29T12:01:01.218875+00:00,Pittsburgh,0.0,None,0,0.0,
2026-07-29T12:01:01.218875+00:00,Portland State,0.0,None,0,0.0,
2026-07-29T12:01:01.218875+00:00,Prairie View A&M,0.0,None,0,0.0,
2026-07-29T12:01:01.218875+00:00,Purdue,0.0,None,0,0.0,
2026-07-29T12:01:01.218875+00:00,Rhode Island,0.0,None,0,0.0,
2026-07-29T12:01:01.218875+00:00,Rice,0.0,None,0,0.0,
2026-07-29T12:01:01.218875+00:00,Richmond,0.0,None,0,0.0,
2026-07-29T12:01:01.218875+00:00,Robert Morris,0.0,None,0,0.0,
2026-07-29T12:01:01.218875+00:00,Rutgers,0.0,None,0,0.0,
2026-07-29T12:01:01.218875+00:00,SEC No. 1,0.0,None,0,0.0,
2026-07-29T12:01:01.218875+00:00,SEC No. 2,0.0,None,0,0.0,
2026-07-29T12:01:01.218875+00:00,SMU,0.0,None,0,0.0,
2026-07-29T12:01:01.218875+00:00,Sacramento State,0.0,None,0,0.0,
2026-07-29T12:01:01.218875+00:00,Sacred Heart,0.0,None,0,0.0,
2026-07-29T12:01:01.218875+00:00,Sam Houston,0.0,None,0,0.0,
2026-07-29T12:01:01.218875+00:00,Samford,0.0,None,0,0.0,
2026-07-29T12:01:01.218875+00:00,San Diego State,0.0,None,0,0.0,
2026-07-29T12:01:01.218875+00:00,San Jose State,0.0,None,0,0.0,
2026-07-29T12:01:01.218875+00:00,South Alabama,0.0,None,0,0.0,
2026-07-29T12:01:01.218875+00:00,South Carolina,0.0,None,0,0.0,
2026-07-29T12:01:01.218875+00:00,South Dakota,0.0,None,0,0.0,
2026-07-29T12:01:01.218875+00:00,South Dakota State,0.0,None,0,0.0,
2026-07-29T12:01:01.218875+00:00,South Florida,0.0,None,0,0.0,
