team,conference,rank_post,combo_post,avg_total_wins_post,avg_conference_wins_post,make_title_game_pct_post,conference_title_pct_post,lose_title_game_pct_post,bowl_eligibility_pct_post,rank_pre,combo_pre,avg_total_wins_pre,avg_conference_wins_pre,make_title_game_pct_pre,conference_title_pct_pre,lose_title_game_pct_pre,bowl_eligibility_pct_pre,avg_total_wins_delta,avg_conference_wins_delta,make_title_game_pct_delta,conference_title_pct_delta
Ohio State,B1G,1,30.9333,10.4695,7.8195,0.7529,0.4956,0.2573,1.0,1,30.9333,10.4497,7.8088,0.7494,0.5087,0.2408,1.0,0.01980000000000004,0.010699999999999932,0.0035000000000000586,-0.013100000000000056
Oregon,B1G,2,27.7,9.3988,7.5371,0.6127,0.3002,0.3125,0.9996,2,27.7,9.4083,7.5443,0.6193,0.3088,0.3106,0.9996,-0.009500000000000952,-0.007200000000000095,-0.006599999999999939,-0.008599999999999997
Notre Dame,Independent,3,26.9333,11.0535,0.0,0.0,0.0,0.0,1.0,3,26.9333,11.0528,0.0,0.0,0.0,0.0,1.0,0.000700000000000145,0.0,0.0,0.0
Georgia,SEC,5,26.2333,9.0566,7.1211,0.6009,0.3759,0.225,0.9954,5,26.2333,9.0628,7.1287,0.6376,0.4104,0.2273,0.996,-0.006199999999999761,-0.007600000000000051,-0.036699999999999955,-0.034499999999999975
Indiana,B1G,6,25.5333,9.126,7.1319,0.3631,0.153,0.2101,0.9989,6,25.5333,9.1141,7.1191,0.3606,0.1333,0.2273,0.9989,0.011899999999998911,0.012799999999999478,0.0025000000000000022,0.019699999999999995
Texas,SEC,4,26.3333,8.8004,6.4843,0.4246,0.2532,0.1714,0.9912,4,26.3333,8.8312,6.5041,0.3933,0.2135,0.1799,0.9921,-0.03080000000000105,-0.01980000000000004,0.031299999999999994,0.039699999999999985
Texas Tech,B12,8,22.3,10.019,8.0505,0.9059,0.706,0.1999,1.0,8,22.3,10.0255,8.058,0.9061,0.6974,0.2087,0.9997,-0.006499999999999062,-0.007500000000000284,-0.00019999999999997797,0.008599999999999941
Miami-FL,ACC,7,22.7,8.9592,7.6862,0.8369,0.6684,0.1685,0.9968,7,22.7,8.9646,7.6896,0.8367,0.6551,0.1816,0.9974,-0.005400000000001626,-0.0034000000000000696,0.00019999999999997797,0.013299999999999979
Texas A&M,SEC,9,21.0,7.477,5.6002,0.18,0.0755,0.1045,0.9214,9,21.0,7.4556,5.5762,0.1782,0.0791,0.0991,0.9173,0.021400000000000752,0.02400000000000002,0.001799999999999996,-0.003600000000000006
LSU,SEC,10,20.7667,7.9295,6.1439,0.2858,0.1192,0.1666,0.9547,10,20.7667,7.9131,6.1326,0.287,0.125,0.162,0.9565,0.01639999999999997,0.01130000000000031,-0.0011999999999999789,-0.0058
Alabama,SEC,11,19.9667,7.3263,5.5548,0.1638,0.0694,0.0944,0.8953,11,19.9667,7.3399,5.5715,0.1631,0.064,0.0991,0.8978,-0.013600000000000279,-0.01670000000000016,0.0007000000000000062,0.005400000000000002
Oklahoma,SEC,12,19.0,7.4416,5.0637,0.0879,0.0321,0.0558,0.9068,12,19.0,7.4455,5.0677,0.0859,0.0311,0.0548,0.9075,-0.0038999999999997925,-0.004000000000000448,0.0020000000000000018,0.0009999999999999974
USC,B1G,13,18.2333,7.9581,5.047,0.0472,0.0108,0.0364,0.9719,13,18.2333,7.9403,5.0327,0.0447,0.01,0.0347,0.97,0.01780000000000026,0.014299999999999535,0.0025000000000000022,0.0008000000000000004
Michigan,B1G,15,17.2667,7.6457,5.1261,0.0385,0.0098,0.0287,0.9467,15,17.2667,7.6303,5.1135,0.0388,0.0073,0.0316,0.9449,0.015399999999999636,0.012599999999999945,-0.00030000000000000165,0.0024999999999999996
Tennessee,SEC,16,15.9667,6.7838,5.0626,0.0874,0.0261,0.0613,0.8086,16,15.9667,6.7896,5.063,0.0874,0.0276,0.0598,0.814,-0.005799999999999805,-0.00039999999999995595,0.0,-0.0014999999999999979
Ole Miss,SEC,14,18.0667,6.2368,4.6011,0.0535,0.0187,0.0348,0.6914,14,18.0667,6.196,4.565,0.0492,0.0165,0.0327,0.6854,0.04079999999999995,0.036099999999999355,0.004299999999999998,0.0022000000000000006
Penn State,B1G,18,15.2667,9.3898,6.4955,0.1211,0.0221,0.099,0.9983,18,15.2667,9.3886,6.4988,0.1194,0.0225,0.0969,0.9985,0.0011999999999989797,-0.0033000000000003027,0.0016999999999999932,-0.0003999999999999976
BYU,B12,19,14.4,7.9277,6.7082,0.4562,0.1548,0.3014,0.9596,19,14.4,7.8926,6.6695,0.4474,0.156,0.2913,0.9537,0.03509999999999991,0.03869999999999951,0.008799999999999975,-0.0012000000000000066
Florida,SEC,17,15.3,6.0811,4.4949,0.0355,0.0101,0.0254,0.6532,17,15.3,6.0823,4.5021,0.0343,0.0106,0.0237,0.6553,-0.0011999999999998678,-0.007200000000000095,0.0011999999999999997,-0.0005000000000000004
Missouri,SEC,20,14.1333,6.3425,4.662,0.0463,0.0119,0.0344,0.7244,20,14.1333,6.3294,4.646,0.0473,0.0144,0.033,0.7188,0.013100000000000556,0.016000000000000014,-0.0010000000000000009,-0.0024999999999999988
