path,rows,date_column,latest_snapshot,unique_snapshot_dates,spread_columns,total_columns,price_columns,columns
/Users/jameslindesmith/NCAAF_AUTO/data/odds/game_line_history.csv,16216,snapshot_date,2026-07-28T00:00:00,55,market_line_source | market_spread_home | market_spread_text | market_spread_price | market_spread_book | market_spread_last_update,market_total | market_total_book | market_total_over_price | market_total_under_price | market_total_last_update,market_price_status | market_spread_price | market_total_over_price | market_total_under_price,snapshot_date | snapshot_ts | source | source_file | game_id | date | week | away_team | home_team | away_norm | home_norm | books_available | books_count | market_line_source | market_price_status | market_spread_home | market_spread_text | market_spread_price | market_spread_book | market_spread_last_update | market_total | market_total_book | market_total_over_price | market_total_under_price | market_total_last_update
/Users/jameslindesmith/NCAAF_AUTO/data/odds/game_line_movement_report.csv,174,date,2026-09-06T00:00:00,5,,,previous_price | latest_price,snapshot_prev | snapshot_latest | source_prev | source_latest | game_id | date | week | away_team | home_team | market | book | previous | latest | change | previous_price | latest_price | summary
