game_id,week,away_team,home_team,model_id,availability_status,present_components,required_components,provider_range,provider_stddev
g107,2,South Florida,Army,standard_spread_five_source_v1,MISSING_COMPONENT,4,5,10.869999999999987,4.254106104694611
g108,2,Southern Miss,Auburn,standard_spread_five_source_v1,MISSING_COMPONENT,4,5,17.4,6.806967019164996
g109,2,Arizona,BYU,standard_spread_five_source_v1,MISSING_COMPONENT,4,5,3.350000000000003,1.3858097813192127
g112,2,Memphis,Boise State,standard_spread_five_source_v1,MISSING_COMPONENT,4,5,5.120000000000003,2.0429635336931504
g115,2,Georgia Southern,Clemson,standard_spread_five_source_v1,MISSING_COMPONENT,4,5,1.5999999999999943,0.6197378478034068
g119,2,Maryland,Connecticut,standard_spread_five_source_v1,MISSING_COMPONENT,4,5,12.219999999999999,4.8175797865733365
g120,2,Appalachian State,East Carolina,standard_spread_five_source_v1,MISSING_COMPONENT,4,5,10.89,4.143400626297197
g122,2,Navy,Florida Atlantic,standard_spread_five_source_v1,MISSING_COMPONENT,4,5,7.1700000000000035,2.694609201721097
g123,2,Buffalo,Florida International,standard_spread_five_source_v1,MISSING_COMPONENT,4,5,3.4,1.6753730927766504
g124,2,Sacramento State,Fresno State,standard_spread_five_source_v1,MISSING_COMPONENT,4,5,13.3,5.973960160563512
g125,2,Western Kentucky,Georgia,standard_spread_five_source_v1,MISSING_COMPONENT,4,5,9.900000000000006,3.611440155948871
g126,2,Tennessee,Georgia Tech,standard_spread_five_source_v1,MISSING_COMPONENT,4,5,6.539999999999992,2.7013515135946267
g127,2,New Mexico State,Hawaii,standard_spread_five_source_v1,MISSING_COMPONENT,4,5,3.87000000000001,1.5080347310324163
g129,2,Duke,Illinois,standard_spread_five_source_v1,MISSING_COMPONENT,4,5,4.679999999999996,1.8953100010288546
g131,2,Iowa State,Iowa,standard_spread_five_source_v1,MISSING_COMPONENT,4,5,4.710000000000004,1.7285886584147212
g133,2,Washington State,Kansas State,standard_spread_five_source_v1,MISSING_COMPONENT,4,5,10.999999999999996,3.999062390110961
g134,2,Georgia State,Kennesaw State,standard_spread_five_source_v1,MISSING_COMPONENT,4,5,10.6,4.338395440713076
g136,2,Alabama,Kentucky,standard_spread_five_source_v1,MISSING_COMPONENT,4,5,2.0,0.7711476836508037
g137,2,Louisiana Tech,LSU,standard_spread_five_source_v1,MISSING_COMPONENT,4,5,11.11,4.403693762059301
g139,2,Middle Tennessee,Marshall,standard_spread_five_source_v1,MISSING_COMPONENT,4,5,12.300000000000002,4.401166748715619
g142,2,Oklahoma,Michigan,standard_spread_five_source_v1,MISSING_COMPONENT,4,5,1.909999999999993,0.6835705888933465
g143,2,Eastern Michigan,Michigan State,standard_spread_five_source_v1,MISSING_COMPONENT,4,5,4.330000000000002,1.5929277290574118
g144,2,Mississippi State,Minnesota,standard_spread_five_source_v1,MISSING_COMPONENT,4,5,5.199999999999998,2.0885102345930693
g147,2,Bowling Green,Nebraska,standard_spread_five_source_v1,MISSING_COMPONENT,4,5,5.66,2.144597864402555
g151,2,UNLV,North Texas,standard_spread_five_source_v1,MISSING_COMPONENT,4,5,21.270000000000003,7.793245071855497
g153,2,Rice,Notre Dame,standard_spread_five_source_v1,MISSING_COMPONENT,4,5,6.230000000000004,2.5800520828076325
g154,2,Jacksonville State,Ohio,standard_spread_five_source_v1,MISSING_COMPONENT,4,5,13.380000000000003,4.747810021473059
g155,2,Oregon,Oklahoma State,standard_spread_five_source_v1,MISSING_COMPONENT,4,5,14.269999999999989,5.860048527956057
g156,2,Charlotte,Ole Miss,standard_spread_five_source_v1,MISSING_COMPONENT,4,5,17.699999999999996,6.742886529521313
g157,2,Texas Tech,Oregon State,standard_spread_five_source_v1,MISSING_COMPONENT,4,5,5.699999999999996,2.215897109524716
g158,2,Central Florida,Pittsburgh,standard_spread_five_source_v1,MISSING_COMPONENT,4,5,8.139999999999988,3.2664468463454246
g159,2,Wake Forest,Purdue,standard_spread_five_source_v1,MISSING_COMPONENT,4,5,4.779999999999999,1.926155497357365
