kept,audit_reason,category,title,reason,source
False,price_only,Game line move,North Texas at Indian — Caesars Total Over Price -118 → -109,Moved +9 point(s) · price → · moved between 2026-08-03 8:00 AM EDT and 2026-08-04 8:00 AM EDT,data/odds/game_line_movement_report.csv
False,price_only,Game line move,North Texas at Indian — Caesars Total Under Price -103 → -112,Moved -9 point(s) · price → · moved between 2026-08-03 8:00 AM EDT and 2026-08-04 8:00 AM EDT,data/odds/game_line_movement_report.csv
False,price_only,Game line move,Coastal Carolina Chanticleers at West Virginia Mountaineers — Bally Bet Total Over Price -107 → -112,Moved -5 point(s) · price → · moved between 2026-08-03 8:00 AM EDT and 2026-08-04 8:00 AM EDT,data/odds/game_line_movement_report.csv
False,price_only,Game line move,Coastal Carolina Chanticleers at West Virginia Mountaineers — Bally Bet Total Under Price -114 → -109,Moved +5 point(s) · price → · moved between 2026-08-03 8:00 AM EDT and 2026-08-04 8:00 AM EDT,data/odds/game_line_movement_report.csv
False,price_only,Game line move,New Hampshire at Syracuse Orange — FanDuel Total Over Price -110 → -115,Moved -5 point(s) · price → · moved between 2026-08-03 8:00 AM EDT and 2026-08-04 8:00 AM EDT,data/odds/game_line_movement_report.csv
False,price_only,Game line move,New Hampshire at Syracuse Orange — FanDuel Total Under Price -110 → -105,Moved +5 point(s) · price → · moved between 2026-08-03 8:00 AM EDT and 2026-08-04 8:00 AM EDT,data/odds/game_line_movement_report.csv
False,price_only,Game line move,New Hampshire at Syracuse — FanDuel Total Over Price -110 → -115,Moved -5 point(s) · price → · moved between 2026-08-03 8:00 AM EDT and 2026-08-04 8:00 AM EDT,data/odds/game_line_movement_report.csv
False,price_only,Game line move,New Hampshire at Syracuse — FanDuel Total Under Price -110 → -105,Moved +5 point(s) · price → · moved between 2026-08-03 8:00 AM EDT and 2026-08-04 8:00 AM EDT,data/odds/game_line_movement_report.csv
True,actual_line_move,Game line move,North Carolina A&T at Georgia State Panthers — FanDuel Total +58.5 → +63.5,Moved +5 point(s) · price → · moved between 2026-08-03 8:00 AM EDT and 2026-08-04 8:00 AM EDT,data/odds/game_line_movement_report.csv
True,actual_line_move,Game line move,North Carolina A&T at Georgia State — FanDuel Total +58.5 → +63.5,Moved +5 point(s) · price → · moved between 2026-08-03 8:00 AM EDT and 2026-08-04 8:00 AM EDT,data/odds/game_line_movement_report.csv
False,price_only,Game line move,Tarleton State Texans at Bowling Green Falcons — FanDuel Total Over Price -110 → -105,Moved +5 point(s) · price → · moved between 2026-08-03 8:00 AM EDT and 2026-08-04 8:00 AM EDT,data/odds/game_line_movement_report.csv
False,price_only,Game line move,Tarleton State Texans at Bowling Green Falcons — FanDuel Total Under Price -110 → -115,Moved -5 point(s) · price → · moved between 2026-08-03 8:00 AM EDT and 2026-08-04 8:00 AM EDT,data/odds/game_line_movement_report.csv
False,price_only,Game line move,Tarleton State at Bowling Green — FanDuel Total Over Price -110 → -105,Moved +5 point(s) · price → · moved between 2026-08-03 8:00 AM EDT and 2026-08-04 8:00 AM EDT,data/odds/game_line_movement_report.csv
False,price_only,Game line move,Tarleton State at Bowling Green — FanDuel Total Under Price -110 → -115,Moved -5 point(s) · price → · moved between 2026-08-03 8:00 AM EDT and 2026-08-04 8:00 AM EDT,data/odds/game_line_movement_report.csv
False,price_only,Game line move,Arkansas Razorbacks at Utah Utes — DraftKings Total Over Price -112 → -108,Moved +4 point(s) · price → · moved between 2026-08-03 8:00 AM EDT and 2026-08-04 8:00 AM EDT,data/odds/game_line_movement_report.csv
False,price_only,Game line move,Arkansas Razorbacks at Utah Utes — DraftKings Total Under Price -108 → -112,Moved -4 point(s) · price → · moved between 2026-08-03 8:00 AM EDT and 2026-08-04 8:00 AM EDT,data/odds/game_line_movement_report.csv
False,price_only,Game line move,Arkansas at Utah — DraftKings Total Over Price -112 → -108,Moved +4 point(s) · price → · moved between 2026-08-03 8:00 AM EDT and 2026-08-04 8:00 AM EDT,data/odds/game_line_movement_report.csv
False,price_only,Game line move,Arkansas at Utah — DraftKings Total Under Price -108 → -112,Moved -4 point(s) · price → · moved between 2026-08-03 8:00 AM EDT and 2026-08-04 8:00 AM EDT,data/odds/game_line_movement_report.csv
False,price_only,Game line move,Western Kentucky at Nevad — Caesars Total Over Price -113 → -117,Moved -4 point(s) · price → · moved between 2026-08-03 8:00 AM EDT and 2026-08-04 8:00 AM EDT,data/odds/game_line_movement_report.csv
False,price_only,Game line move,Baylor at Auburn — Caesars Total Over Price -107 → -110,Moved -3 point(s) · price → · moved between 2026-08-03 8:00 AM EDT and 2026-08-04 8:00 AM EDT,data/odds/game_line_movement_report.csv
False,price_only,Game line move,Baylor at Auburn — Caesars Total Under Price -113 → -110,Moved +3 point(s) · price → · moved between 2026-08-03 8:00 AM EDT and 2026-08-04 8:00 AM EDT,data/odds/game_line_movement_report.csv
False,price_only,Game line move,Colorado at Georgia Tech — Caesars Total Under Price -118 → -115,Moved +3 point(s) · price → · moved between 2026-08-03 8:00 AM EDT and 2026-08-04 8:00 AM EDT,data/odds/game_line_movement_report.csv
False,price_only,Game line move,North Carolina Tar Heels at TCU Horned Frogs — Bally Bet Total Under Price -110 → -113,Moved -3 point(s) · price → · moved between 2026-08-03 8:00 AM EDT and 2026-08-04 8:00 AM EDT,data/odds/game_line_movement_report.csv
False,price_only,Game line move,Ball State at Ohio State — Caesars Total Under Price -107 → -109,Moved -2 point(s) · price → · moved between 2026-08-03 8:00 AM EDT and 2026-08-04 8:00 AM EDT,data/odds/game_line_movement_report.csv
False,price_only,Game line move,Colorado at Georgia Tech — Caesars Total Over Price -103 → -105,Moved -2 point(s) · price → · moved between 2026-08-03 8:00 AM EDT and 2026-08-04 8:00 AM EDT,data/odds/game_line_movement_report.csv
False,price_only,Game line move,Florida International Panthers at South Florida Bulls — Bally Bet Total Under Price -112 → -110,Moved +2 point(s) · price → · moved between 2026-08-03 8:00 AM EDT and 2026-08-04 8:00 AM EDT,data/odds/game_line_movement_report.csv
False,price_only,Game line move,Fresno State at USC — Caesars Total Over Price -107 → -109,Moved -2 point(s) · price → · moved between 2026-08-03 8:00 AM EDT and 2026-08-04 8:00 AM EDT,data/odds/game_line_movement_report.csv
False,price_only,Game line move,Memphis at UNLV — Caesars Total Under Price -117 → -115,Moved +2 point(s) · price → · moved between 2026-08-03 8:00 AM EDT and 2026-08-04 8:00 AM EDT,data/odds/game_line_movement_report.csv
False,price_only,Game line move,North Carolina Tar Heels at TCU Horned Frogs — Bally Bet Total Over Price -110 → -108,Moved +2 point(s) · price → · moved between 2026-08-03 8:00 AM EDT and 2026-08-04 8:00 AM EDT,data/odds/game_line_movement_report.csv
False,price_only,Game line move,Oregon State at Houston — Caesars Total Under Price -106 → -108,Moved -2 point(s) · price → · moved between 2026-08-03 8:00 AM EDT and 2026-08-04 8:00 AM EDT,data/odds/game_line_movement_report.csv
