provider,rule_id,n,signed_mean_move,direction_accuracy,one_sided_p
Bovada,spread_away_upgrade_favorite,63,0.7063492063492064,0.6825396825396826,1.8228962543270372e-05
Bovada,total_down_low_success_slow,72,0.9166666666666666,0.6388888888888888,8.116486428897108e-05
DraftKings,spread_away_upgrade_favorite,62,2.6693548387096775,0.7096774193548387,0.00019148129088691058
DraftKings,total_down_low_success_slow,0,,,
ESPN Bet,spread_away_upgrade_favorite,62,0.5725806451612904,0.5806451612903226,0.00021366448543893755
ESPN Bet,total_down_low_success_slow,72,0.8611111111111112,0.5694444444444444,1.0098078801131531e-05
