source,teams,rows,snapshot_date,pulled_at,source_updated_at,active_2026,production_weight_pct,display_status
Brad Powers,136,136,2026-07-21,2026-07-21T17:19:22Z,,True,25.0,Active 2026
FPI,138,138,2026-07-21,2026-07-21T17:19:22Z,,True,25.0,Active 2026
SP+,138,138,2026-07-21,2026-07-21T17:19:22Z,,True,25.0,Active 2026
TeamRankings,138,138,2026-07-21,2026-07-21T17:19:22Z,,True,25.0,Active 2026
Donchess Overall,136,136,2026-07-21,2026-07-21T15:16:11Z,,False,0.0,Stale / reference only
KFord,136,136,2026-07-21,2026-07-21T17:19:22Z,,False,0.0,Stale / reference only
Massey Power,138,138,2026-07-21,2026-07-21T15:16:10Z,,False,0.0,Stale / reference only
Sagarin Predictor,138,138,2026-07-21,2026-07-21T15:16:10Z,,False,0.0,Stale / reference only
