flag,reason,game_id,cfbd_game_id,week,date,away_team,home_team,neutral_site,away_power,home_power,home_hfa,hfa_used,stored_projected_margin_home,expected_margin_home,projection_diff_pts,stored_projected_spread,expected_projected_spread,market_spread,projected_total,market_total
OK,,g474,,7,2026-10-17,Georgia State,James Madison,False,-19.4455,1.017,2.7,2.7,23.1625,23.162499999999998,3.552713678800501e-15,James Madison -23.2,James Madison -23.2,,55.05,
OK,,g480,401866478,7,2026-10-17,Akron,Miami-OH,False,-17.8955,-7.6355,2.7,2.7,12.96,12.959999999999997,3.552713678800501e-15,Miami-OH -13,Miami-OH -13,,43.65,
OK,,g502,401856828,7,2026-10-17,Arizona State,Texas Tech,False,6.4595,23.1195,3.2,3.2,19.86,19.859999999999996,3.552713678800501e-15,Texas Tech -19.9,Texas Tech -19.9,,50.85,
OK,,g528,401856840,8,2026-10-24,Texas Tech,Cincinnati,False,23.1195,3.852,2.1,2.1,-17.1675,-17.167499999999997,-3.552713678800501e-15,Texas Tech -17.2,Texas Tech -17.2,,53.65,
OK,,g531,401861965,8,2026-10-24,Massachusetts,Connecticut,False,-27.9655,-9.1105,1.9,1.9,20.755,20.754999999999995,3.552713678800501e-15,Connecticut -20.8,Connecticut -20.8,,51.05,
OK,,g574,401862813,9,2026-10-30,Tulane,Charlotte,False,-0.3055,-23.1705,1.7,1.7,-21.165,-21.165000000000003,3.552713678800501e-15,Tulane -21.2,Tulane -21.2,,51.6,
OK,,g593,401858283,9,2026-10-31,Stanford,Louisville,False,-3.008,10.9195,2.9,2.9,16.8275,16.827499999999997,3.552713678800501e-15,Louisville -16.8,Louisville -16.8,,48.5,
OK,,g614,401856737,9,2026-10-31,Mississippi State,Texas,False,5.4545,24.792,3.0,3.0,22.3375,22.337500000000002,-3.552713678800501e-15,Texas -22.3,Texas -22.3,,54.35,
OK,,g615,401856842,9,2026-10-31,Arizona,Texas Tech,False,9.372,23.1195,3.2,3.2,16.9475,16.947499999999998,3.552713678800501e-15,Texas Tech -16.9,Texas Tech -16.9,,52.3,
OK,,g619,401858509,9,2026-10-31,Ohio State,USC,False,30.5145,17.9595,2.4,2.4,-10.155,-10.155000000000003,3.552713678800501e-15,Ohio State -10.2,Ohio State -10.2,,53.8,
OK,,g678,401862819,10,2026-11-07,Charlotte,UAB,False,-23.1705,-16.8055,3.8,3.8,10.165,10.165000000000003,-3.552713678800501e-15,UAB -10.2,UAB -10.2,,55.45,
OK,,g710,401858518,11,2026-11-14,USC,Indiana,False,17.9595,27.277,1.9,1.9,11.2175,11.217500000000003,-3.552713678800501e-15,Indiana -11.2,Indiana -11.2,,54.55,
OK,,g711,401858519,11,2026-11-14,Purdue,Iowa,False,-2.558,13.6395,2.4,2.4,18.5975,18.597499999999997,3.552713678800501e-15,Iowa -18.6,Iowa -18.6,,49.4,
OK,,g754,401866464,12,2026-11-17,Ball State,Ohio,False,-22.3355,-9.1155,2.9,2.9,16.12,16.119999999999997,3.552713678800501e-15,Ohio -16.1,Ohio -16.1,,44.2,
OK,,g808,401856753,12,2026-11-21,Georgia,South Carolina,False,25.3895,11.5345,2.3,2.3,-11.555,-11.555000000000003,3.552713678800501e-15,Georgia -11.6,Georgia -11.6,,49.9,
OK,,g812,401856755,12,2026-11-21,Arkansas,Texas,False,5.912,24.792,3.0,3.0,21.88,21.880000000000003,-3.552713678800501e-15,Texas -21.9,Texas -21.9,,57.65,
OK,,g818,401858534,12,2026-11-21,Maryland,USC,False,1.747,17.9595,2.4,2.4,18.6125,18.612499999999997,3.552713678800501e-15,USC -18.6,USC -18.6,,53.5,
OK,,g842,401862842,13,2026-11-28,Navy,Charlotte,False,1.0895,-23.1705,1.7,1.7,-22.56,-22.560000000000002,3.552713678800501e-15,Navy -22.6,Navy -22.6,,53.7,
OK,,g850,401856760,13,2026-11-28,Georgia Tech,Georgia,False,6.1295,25.3895,1.8,1.8,21.06,21.060000000000002,-3.552713678800501e-15,Georgia -21.1,Georgia -21.1,,51.85,
OK,,g291,401856702,4,2026-09-26,Texas A&M,LSU,False,21.127,18.0145,3.9,3.9,0.7875,0.7875000000000028,-2.7755575615628914e-15,LSU -0.8,LSU -0.8,,49.5,
OK,,g98,401856661,1,2026-09-06,Louisville,Ole Miss,True,10.9195,18.542,2.4,0.0,7.6225,7.622500000000002,-2.6645352591003757e-15,Ole Miss -7.6,Ole Miss -7.6,Ole Miss -6.5,52.5,55.5
OK,,g343,401866430,5,2026-10-03,Akron,Central Michigan,False,-17.8955,-12.428,1.7,1.7,7.1675,7.167499999999998,2.6645352591003757e-15,Central Michigan -7.2,Central Michigan -7.2,,45.95,
OK,,g832,401856756,13,2026-11-27,Texas,Texas A&M,False,24.792,21.127,2.5,2.5,-1.165,-1.1650000000000027,2.6645352591003757e-15,Texas -1.2,Texas -1.2,,52.95,
OK,,g400,401866435,6,2026-10-10,Eastern Michigan,Akron,False,-15.303,-17.8955,0.7,0.7,-1.8925,-1.8924999999999976,-2.4424906541753444e-15,Eastern Michigan -1.9,Eastern Michigan -1.9,,47.75,
OK,,g519,401856727,8,2026-10-24,Texas A&M,Alabama,False,21.127,19.527,3.2,3.2,1.6,1.6000000000000023,-2.220446049250313e-15,Alabama -1.6,Alabama -1.6,,48.95,
OK,,g523,401856728,8,2026-10-24,LSU,Auburn,False,18.0145,12.5795,2.6,2.6,-2.835,-2.835000000000002,2.220446049250313e-15,LSU -2.8,LSU -2.8,,45.45,
OK,,g826,401866472,13,2026-11-27,Buffalo,Akron,False,-13.403,-17.8955,0.7,0.7,-3.7925,-3.7924999999999978,-2.220446049250313e-15,Buffalo -3.8,Buffalo -3.8,,44.35,
OK,,g801,401856752,12,2026-11-21,Texas A&M,Oklahoma,False,21.127,18.687,3.3,3.3,0.86,0.8600000000000021,-2.1094237467877974e-15,Oklahoma -0.9,Oklahoma -0.9,,50.15,
OK,,g1,401866408,0,2026-08-29,Sacramento State,Eastern Michigan,False,-17.4333,-15.303,1.5,1.5,3.6303,3.6302999999999983,1.7763568394002505e-15,Eastern Michigan -3.6,Eastern Michigan -3.6,Eastern Michigan -7.5,51.8,53.5
