season,week,game_id,team,opponent,prior_games,pregame_off_plays,pregame_off_pass_rate,pregame_off_neutral_pass_rate,pregame_off_early_down_pass_rate,pregame_off_qb_run_share,pregame_off_rush_success_rate,pregame_off_pass_success_rate,pregame_off_success_rate,pregame_off_explosiveness,pregame_off_explosive_rush_rate,pregame_off_explosive_pass_rate,pregame_off_ppa,pregame_def_plays,pregame_def_pass_rate_faced,pregame_def_rush_success_allowed,pregame_def_pass_success_allowed,pregame_def_success_allowed,pregame_def_explosiveness_allowed,pregame_def_explosive_rush_allowed,pregame_def_explosive_pass_allowed,pregame_def_ppa_allowed,pregame_def_havoc_rate,pregame_def_front_seven_havoc_rate,pregame_def_db_havoc_rate,pregame_off_drive_elapsed_seconds_per_play
2021,1,401310861,Air Force,Lafayette,0,,,,,,,,,,,,,,,,,,,,,,,,,
2021,2,401301004,Air Force,Navy,1,74.0,0.08108108108108109,0.0851063829787234,0.07142857142857142,0.0,0.5522388059701493,0.5,0.547945205479452,1.0494399536782715,0.14705882352941177,0.16666666666666666,0.37451144253540536,46.0,0.6086956521739131,0.3333333333333333,0.5357142857142857,0.45652173913043476,1.4797515004207735,0.05555555555555555,0.17857142857142858,0.2629278576731231,0.2916666666666667,0.1875,0.10416666666666667,27.054794520547944
2021,3,401310704,Air Force,Utah State,2,71.5,0.12025068546807677,0.13689281413087115,0.10571428571428572,0.11206896551724138,0.4226711271230057,0.38636363636363635,0.41890013897161005,1.2201823310345064,0.12525354969574037,0.12878787878787878,0.16445357391515117,44.5,0.4787664307381193,0.2738095238095238,0.3678571428571429,0.33291203235591504,1.024646009781815,0.04563492063492063,0.08928571428571429,0.01564484964934673,0.2935606060606061,0.23011363636363635,0.0634469696969697,27.054794520547944
2021,4,401282207,Air Force,Florida Atlantic,3,72.66666666666667,0.1379449014231623,0.14298601401828193,0.11567393058918483,0.13922877271041897,0.4215656976518963,0.41142191142191137,0.42148898153662895,1.4355579773434783,0.12651311915199895,0.18842268842268842,0.2500210746279537,59.333333333333336,0.5139341747991956,0.30866580866580867,0.40549450549450555,0.36800877063428045,1.2688316598505809,0.07546832546832548,0.09798534798534798,0.15684743576134455,0.21443366246737036,0.1534090909090909,0.06102457155827942,26.922134102379236
2021,5,401310710,Air Force,New Mexico,4,69.0,0.12501040020530274,0.11860314687734781,0.10305979576797558,0.17989327764602178,0.45768370720118634,0.4085664335664335,0.45404777063523033,1.396136954184707,0.13733766955267845,0.24131701631701633,0.32486653461711673,53.75,0.5273425229912886,0.3721243564993565,0.37554945054945055,0.3773579293270617,1.2455548514375452,0.1191012441012441,0.07348901098901099,0.1487481509206291,0.22332524685052776,0.1390952797202797,0.08422996713024802,27.807464401586156
2021,6,401310714,Air Force,Wyoming,5,67.0,0.10678798118119134,0.09488251750187825,0.0907811699477138,0.1649672536957648,0.47842766751533505,0.4268531468531468,0.4751026232878453,1.299859258133669,0.12741399529126557,0.29305361305361305,0.31569218153393563,46.8,0.5271371762877677,0.3865883740883741,0.3404395604395604,0.36504423819849147,1.2126240855030557,0.1175032175032175,0.0787912087912088,0.12885884803578423,0.21280653894383686,0.14054451645915061,0.07226202248468623,28.90862860421992
2021,7,401310718,Air Force,Boise State,6,67.83333333333333,0.11445294728062243,0.09607556730598699,0.103952861748881,0.16479511578472203,0.46153125298409065,0.4617715617715617,0.4653632971843155,1.2678968640610029,0.11710729115802186,0.2745143745143745,0.28878972936624425,48.0,0.5349599925854854,0.38012799289973204,0.33746307455984875,0.3597590873876318,1.2717250893884933,0.12690485516572472,0.07103568474536216,0.12953038473018708,0.22672149850258008,0.14489820816040327,0.0818232903421768,29.326902883375936
2021,8,401310724,Air Force,San Diego State,7,67.57142857142857,0.11325404139204866,0.09915720895135019,0.10076426050778721,0.18483649149586343,0.4658161345190511,0.4162123590695019,0.46381789109304966,1.238410117984071,0.1173268306778202,0.2557061985633414,0.2868189421338529,49.857142857142854,0.5475301107407206,0.3941469752805156,0.3569232368407726,0.3762806229130521,1.2574095524094537,0.12119795039049697,0.0759253237667014,0.13970414081609714,0.20838423525045505,0.13356614563631755,0.0748180896141375,29.720038117098994
2021,10,401310253,Air Force,Army,8,67.0,0.13084331796407433,0.11262462679794866,0.11433151864198823,0.20162554708015712,0.4581210325977867,0.39543581418581414,0.4514755753413391,1.198652116387083,0.1132992747154331,0.23155542374292373,0.2544683742346684,50.125,0.5127426930519766,0.405689414181262,0.37480783223567604,0.39052005485284214,1.2054339764726933,0.11262715396010589,0.07536322972443515,0.14635684246356187,0.1921401274127756,0.12422331860824845,0.06791680880452718,29.385883011935192
2021,11,401310741,Air Force,Colorado State,9,66.77777777777777,0.1504932057116558,0.11677744604262102,0.13866505360769324,0.21625974555273225,0.4566014116918598,0.41816516816516813,0.45601247722648947,1.185855313482416,0.11305614542606397,0.23360482110482106,0.24055675787884,50.111111111111114,0.48243794937953477,0.39277655529562466,0.397977332357638,0.38712893764697076,1.2317067791530996,0.10596097895869061,0.09476731531060903,0.14504831091571896,0.19136735605415445,0.12688163300157063,0.06448572305258383,29.117059400149174
