market,snapshot_prev,snapshot_latest,season,conference,team,book,field,previous,latest,change,implied_prob_change_pct,summary
Conference Title,2026-05-08,2026-05-09,2026,Big 12,Arizona,DraftKings,American Odds,+1500,+1800,300.0,-0.99,Arizona DraftKings Big 12 title +1500 → +1800
Conference Title,2026-05-08,2026-05-09,2026,Big 12,Arizona State,DraftKings,American Odds,+2500,+2200,-300.0,0.5,Arizona State DraftKings Big 12 title +2500 → +2200
Conference Title,2026-05-08,2026-05-09,2026,Big 12,Central Florida,DraftKings,American Odds,+9000,+6000,-3000.0,0.54,Central Florida DraftKings Big 12 title +9000 → +6000
Conference Title,2026-05-08,2026-05-09,2026,Big 12,Colorado,DraftKings,American Odds,+13000,+12000,-1000.0,0.06,Colorado DraftKings Big 12 title +13000 → +12000
Conference Title,2026-05-08,2026-05-09,2026,ACC,Duke,DraftKings,American Odds,+5000,+6000,1000.0,-0.32,Duke DraftKings ACC title +5000 → +6000
Conference Title,2026-05-08,2026-05-09,2026,Big Ten,Indiana,DraftKings,American Odds,+245,+250,5.0,-0.41,Indiana DraftKings Big Ten title +245 → +250
Conference Title,2026-05-08,2026-05-09,2026,Big Ten,Iowa,DraftKings,American Odds,+8000,+6000,-2000.0,0.4,Iowa DraftKings Big Ten title +8000 → +6000
Conference Title,2026-05-08,2026-05-09,2026,Big 12,K State,DraftKings,American Odds,+1600,+1400,-200.0,0.78,K State DraftKings Big 12 title +1600 → +1400
Conference Title,2026-05-08,2026-05-09,2026,SEC,Kentucky,DraftKings,American Odds,+35000,+25000,-10000.0,0.11,Kentucky DraftKings SEC title +35000 → +25000
Conference Title,2026-05-08,2026-05-09,2026,Big 12,OK State,DraftKings,American Odds,+4500,+4000,-500.0,0.27,OK State DraftKings Big 12 title +4500 → +4000
Conference Title,2026-05-08,2026-05-09,2026,Big Ten,Ohio State,DraftKings,American Odds,+175,+180,5.0,-0.65,Ohio State DraftKings Big Ten title +175 → +180
Conference Title,2026-05-08,2026-05-09,2026,SEC,Oklahoma,DraftKings,American Odds,+1400,+1300,-100.0,0.48,Oklahoma DraftKings SEC title +1400 → +1300
Conference Title,2026-05-08,2026-05-09,2026,SEC,Ole Miss,DraftKings,American Odds,+1200,+1100,-100.0,0.64,Ole Miss DraftKings SEC title +1200 → +1100
Conference Title,2026-05-08,2026-05-09,2026,Big Ten,Oregon,DraftKings,American Odds,+270,+260,-10.0,0.75,Oregon DraftKings Big Ten title +270 → +260
Conference Title,2026-05-08,2026-05-09,2026,ACC,Stanford,DraftKings,American Odds,+60000,+40000,-20000.0,0.08,Stanford DraftKings ACC title +60000 → +40000
Conference Title,2026-05-08,2026-05-09,2026,ACC,Syracuse,DraftKings,American Odds,+30000,+25000,-5000.0,0.07,Syracuse DraftKings ACC title +30000 → +25000
Conference Title,2026-05-08,2026-05-09,2026,SEC,Texas,DraftKings,American Odds,+290,+310,20.0,-1.25,Texas DraftKings SEC title +290 → +310
Conference Title,2026-05-08,2026-05-09,2026,Big 12,Texas Tech,DraftKings,American Odds,+105,+100,-5.0,1.22,Texas Tech DraftKings Big 12 title +105 → +100
Conference Title,2026-05-08,2026-05-09,2026,Big 12,Utah,DraftKings,American Odds,+550,+600,50.0,-1.1,Utah DraftKings Big 12 title +550 → +600
Conference Title,2026-05-08,2026-05-09,2026,ACC,Virginia,DraftKings,American Odds,+1400,+1500,100.0,-0.42,Virginia DraftKings ACC title +1400 → +1500
Conference Title,2026-05-08,2026-05-09,2026,ACC,Virginia Tech,DraftKings,American Odds,+3000,+2800,-200.0,0.22,Virginia Tech DraftKings ACC title +3000 → +2800
Conference Title,2026-05-08,2026-05-09,2026,Big 12,West Virginia,DraftKings,American Odds,+9000,+8000,-1000.0,0.14,West Virginia DraftKings Big 12 title +9000 → +8000
Win Total,2026-05-08,2026-05-09,2026,Southeastern,Auburn,Caesars,Over Odds,-120,-130,-10.0,1.98,Auburn Caesars over -120 → -130
Win Total,2026-05-08,2026-05-09,2026,Southeastern,Auburn,Caesars,Under Odds,-110,+100,210.0,-2.38,Auburn Caesars under -110 → +100
Win Total,2026-05-08,2026-05-09,2026,,Kentucky,DraftKings,Over Odds,-120,-125,-5.0,1.01,Kentucky DraftKings over -120 → -125
Win Total,2026-05-08,2026-05-09,2026,,Kentucky,DraftKings,Under Odds,+100,+105,5.0,-1.22,Kentucky DraftKings under +100 → +105
Win Total,2026-05-08,2026-05-09,2026,,Sac State,DraftKings,Over Odds,+120,+125,5.0,-1.01,Sac State DraftKings over +120 → +125
Win Total,2026-05-08,2026-05-09,2026,,Sac State,DraftKings,Under Odds,-150,-160,-10.0,1.54,Sac State DraftKings under -150 → -160
Win Total,2026-05-08,2026-05-09,2026,,UConn,DraftKings,Over Odds,+130,-165,-295.0,18.79,UConn DraftKings over +130 → -165
Win Total,2026-05-08,2026-05-09,2026,,UConn,DraftKings,Under Odds,-165,+130,295.0,-18.79,UConn DraftKings under -165 → +130
Win Total,2026-05-08,2026-05-09,2026,,UConn,DraftKings,Win Total,6.5,5.5,-1.0,,UConn DraftKings win total 6.5 → 5.5
