metric,value
cfbd_rp_2023_2025_rows,398
historical_early_games_with_lines,3468
historical_high_low_games,297
historical_summary_rows,8
site_2026_returning_production_teams,138
returning_production_2026_signals,23
historical_primary_metric,CFBD percent_ppa
site_2026_metric,Bill Connelly/SP+ overall/off/def
