market,train_through,test_year,n,wins,losses,pushes,raw_win_rate,shrunk_win_rate,mean_residual,p
ATS,2021,2022,514,244,262,8,0.48221343873517786,0.4828897338403042,0.058365758754863814,0.46556230757459627
ATS,2022,2023,531,262,264,5,0.49809885931558934,0.4981684981684982,0.3644067796610169,0.29668772919230174
ATS,2023,2024,527,259,267,1,0.4923954372623574,0.4926739926739927,0.222011385199241,0.3690006675968912
TOTAL,2021,2022,514,257,250,7,0.5069033530571992,0.5066413662239089,0.45136186770428016,0.25463058687908335
TOTAL,2022,2023,531,290,234,7,0.5534351145038168,0.5514705882352942,1.4425612052730696,0.0156603778534774
TOTAL,2023,2024,527,239,288,0,0.45351043643263755,0.45521023765996343,-0.8273244781783681,0.8754600648493313
